Title,Alternative Titles,Day,Time,Genre,Rating,Studio
Boku no Hero Academia 4,"boku no hero 4, bnh4, mha4",Saturday,17:30 JST,"Action, Comedy, School, Shounen, Super Power",8.26,Bones
Sword Art Online Alicization Wear of Underworld,"sword art online alicization 2, sao alicization 2",Sunday,00:00 JST,"Action, Adventure, Fantasy, Game, Romance",7.89,A-1 Pictures
Nanatsu no Taizai Kamigami no Gekirin,"seven deadly sings weath of the gods, seven deadly sins 4, nanatsu no taizai 4",Wednesday,17:55 JST,"Action, Adventure, Magic, Fantasy, Shounen, Supernatural",6.81,Studio Deen
Shokugeki no Souma Shin no Sara,"shokugeki no souma 4, food wars 4, shokugeki no soma 4",Saturday,00:30 JST,"Ecchi, School, Shounen",8.02,J.C.Staff
Shinchou Yuusha Kono Yuusha ga Ore Tuee Kuse ni Shinchou Sugiru,"shinchou yuusha, cautious hero, cautious hero the hero is overpowered but overly cautious",Wednesday,22:30 JST,"Action, Adventure, Comedy, Fantasy",7.47,White Fox
Ore wo Suki Nano wa Omae Dake yo,oresuki,Thursday,00:30 JST,"Comedy, Romance, School",7.80,Connect
Assassins Pride,N/A,Thursday,23:30 JST,"Action, Fantasy",6.58,EMT Squared
Psycho Pass 3,psychopass 3,Friday,00:55 JST,"Action, Police, Psychological, Sci-Fi",7.94,Production I.G
No Guns Life,ngl,Friday,01:28 JST,"Action, Drama, Sci-Fi, Seinen",7.18,Madhouse
Beastars,N/A,Thursday,00:55 JST,"Drama, Psychological, Shounen, Slice of Life",8.12,Orange
Fate Grand Order Zettai Majuu Sensen Babylonia,"fate babylonia, fgo babylonia",Saturday,23:30 JST,"Action, Fantasy, Magic, Supernatural",7.90,CloverWorks
Hataage Kemono Michi,"kemono michi rise up, hataage, kemono michi",Wednesday,22:00 JST,"Comedy, Fantasy, Shounen",7.09,ENGI
Bokutachi wa Benkyou ga Dekinai 2,"bokuben 2, bokuben2",Sunday,00:30 JST,"Comedy, Harem, Romance, School, Shounen",7.61,"Silver, Arvo Animation"
Choujin Koukousei Tachi wa Isekai demo Yoyuu de Ikinku you desu!,choyoyu,Thursday,21:00 JST,"Adventure, Fantasy",6.25,Project No.9
Azur Lane,N/A,Thursday,23:30 JST,"Action, Military, Historical",6.66,Bibury Animation Studios
Ahiru no Sora,sky of the duck,Wednesday,18:25 JST,"Comedy, Drama, School, Sports, Shounen",7.62,Diomedea
Babylon,N/A,Monday,22:00 JST,"Mystery, Psychological, Thriller",7.76,Revoroot
Mairimashita Iruma kun,"welcome to demon school iruma kun, mairimashita irumakun, mairimashita, iruma kun",Saturday,17:35 JST,"Comedy, Demons, Fantasy, School, Shounen, Supernatural",7.65,Bandai Namco Pictures
Kabukichou Sherlock,kabukichou,Saturday,01:55 JST,"Comedy, Drama, Mystery",6.57,Production I.G
Watashi Nouryoku wa Keikinchi de tte Itta yo ne,noukin,Monday,23:30 JST,"Comedy, Fantasy",6.92,Project No.9
Chihayafuru 3,chihayafull 3,Wednesday,01:29 JST,"Drama, Game, Josei, School, Slife of Life, Sports",7.74,Madhouse
Hoshiai no Sora,stars align,Friday,01:58 JST,"Drama, School, Slice of Life, Sports",7.91,8bit
Honzuki no Gekokujou Shisho ni naru Tame ni wa Shudan wo Erandeiraremasen,"honzuki no gekokujou, honzuki, ascendance of a bookworm, bookworm",Wednesday,00:30 JST,"Fantasy, Slice of Life",7.25,Ajia-Do
Val x Love,"vallove, ikusa x koi",Saturday,23:00 JST,"Comedy, Ecchi, Romance, School, Shounen, Supernatural",5.61,Hoods Entertainment
Granblue Fantasy The Animation season 2,"granblue 2, granblue fantasy 2",Saturday,00:00 JST,"Adventure, Fantasy",7.11,MAPPA
High Score Girl 2,high score girl season 2,Saturday,01:05 JST,"Comedy, Game, Romance, School, Seinen",8.08,J.C.Staff
Radiant 2nd Season,"radiant season 2, radiant 2",Wednesday,19:25 JST,"Action, Adventure, Fantasy, Magic",7.35,Lerche
Kono oto Tomare 2nd Season,"kono oto tomare 2, stop this sound 2",Sunday,01:00 JST,"Drama, Music, Romance, School, Shounen",8.14,Platinum Vision
Keishichou Tokumubu Kyouakuhan Taisakushitsu Dainanaka Tokunana,"special crime investigation unit special 7, special 7",Sunday,21:00 JST,"Action, Fantasy, Police, Vampire",6.21,Anima&Co.
Fairy Gone 2nd Season,fairy gone 2,Monday,00:00 JST,"Action, Demons, Fantasy, Magic, Supernatural",6.58,P.A. Works
Houkago Saikoro Club,afterschool dice club,Thursday,01:15 JST,"Comedy, Game, School, Shounen",6.44,LIDENFILMS
Chuubyou Gekihatsu Boy,"outburst dreamer boys, juuhyou gekikatsu boy",Friday,22:30 JST,"Comedy, School",6.42,Studio Deen
Rifle is Beautiful,chidori rsc,Sunday,23:00 JST,"Comedy, School, Slice of Life",5.70,Studio 3Hz
Kandagawa Jet Girls,jet girls,Tuesday,23:30 JST,"Ecchi, Sports",5.69,TNK
